Name / ID	Portrait	Emotion	Action	Line1	Line2	Line3	Color	Size	Speed	Index	Anim	Navigate	Branching Dialogue 1	Branching Dialogue 2
	db_ch_sebellus	EM_SIDE_EYE		Hey.. I saw a house	not far from here.	We can stay there!								
	db_ch_ginger	EM_DEFAULT		I.. Uh.. Sebellus.	"I don't think, uh.."	I'm not going-								
	db_ch_sebellus	EM_DEFAULT		It'll be fun!										
	db_ch_ginger	EM_SIDE_EYE		..I guess we're a	"party of three, now."									
		EM_SKIP	ACT_MUSIC_WIND							CHAR_SEBELLUS_MONSTER	&sm_dead			
		EM_SKIP	ACT_CUE_SEBELLUS											
														
sebellus_02														
	db_ch_sebellus	EM_SIDE_EYE		"Oh.. Duh, forgot"	to tell you.									
	db_ch_sebellus	EM_DEFAULT		It's very well-	"guarded, there are"	all these puzzles.								
	db_ch_sebellus	EM_LAUGH		"See, I'm not so"	smart though..									
